species,common_name,status,count,url
Lophophanes cristatus,Crested tit,Common,39745,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208822/Lophophanes_cristatus_eozpg1.png
Gallinula chloropus,Common moorhen,Common,117841,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208757/Gallinula_chloropus_dffths.png
Limosa limosa,Black-tailed godwit,Endangered,26366,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208812/Limosa_limosa_dfnpwo.png
Calidris canutus,Red knot,Common,63688,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208656/Calidris_canutus_wb0hon.png
Hippolais icterina,Icterine warbler,Migrating,56172,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208774/Hippolais_icterina_nvun33.png
Riparia riparia,Sand martin,Migrating,86358,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208911/Riparia_riparia_its1tw.png
Gavia arctica,Black-throated loon,Migrating,33629,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208759/Gavia_arctica_remw99.png
Perdix perdix,Grey partridge,Common,45790,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208868/Perdix_perdix_i238bw.png
Falco subbuteo,Eurasian hobby,Common,43798,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208745/Falco_subbuteo_kukwvy.png
Cygnus columbianus,Tundra swan,Common,28872,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208719/Cygnus_columbianus_edzrrk.png
Lullula arborea,Woodlark,Migrating,35064,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208825/Lullula_arborea_fj95zr.png
Phylloscopus inornatus,Yellow-browed warbler,Migrating,5793,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208881/Phylloscopus_inornatus_plsshh.png
Anser brachyrhynchus,Pink-footed goose,Migrating,52868,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208533/Anser_brachyrhynchus_yhndfx.png
Aythya nyroca,Ferruginous duck,Common,2278,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208607/Aythya_nyroca_nlbrfb.png
Stercorarius parasiticus,Parasitic jaeger,Migrating,35900,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208924/Stercorarius_parasiticus_m6hk61.png
Hydroprogne caspia,Caspian tern,Common,32005,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208778/Hydroprogne_caspia_chfyoj.png
Podiceps cristatus,Great crested grebe,Common,245713,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208894/Podiceps_cristatus_jmoopy.png
Scolopax rusticola,Eurasian woodcock,Endangered,32273,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208914/Scolopax_rusticola_rlppkk.png
Turdus viscivorus,Mistle thrush,Common,83366,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208956/Turdus_viscivorus_wgysm3.png
Ichthyaetus melanocephalus,Mediterranean gull,Common,15939,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208780/Ichthyaetus_melanocephalus_mik2hn.png
Phylloscopus trochilus,Willow warbler,Migrating,173460,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208886/Phylloscopus_trochilus_byuwtb.png
Sterna paradisaea,Arctic tern,Migrating,51397,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208927/Sterna_paradisaea_lvwtfi.png
Calidris temminckii,Temminck's stint,Migrating,20640,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208676/Calidris_temminckii_n0d4ta.png
Locustella naevia,Common grasshopper warbler,Migrating,23494,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208821/Locustella_naevia_mmbvt2.png
Botaurus stellaris,Eurasian bittern,Endangered,49313,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208612/Botaurus_stellaris_vs9ub2.png
Sitta europaea,Eurasian nuthatch,Common,175328,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208918/Sitta_europaea_fdvyy9.png
Muscicapa striata,Spotted flycatcher,Migrating,37601,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208846/Muscicapa_striata_wfybd6.png
Oenanthe oenanthe,Northern wheatear,Migrating,81035,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208855/Oenanthe_oenanthe_bndwfz.png
Anser rossii,Ross's goose,Migrating,300,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208538/Anser_rossii_yqwodb.png
Charadrius alexandrinus,Kentish plover,Migrating,6019,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208686/Charadrius_alexandrinus_ixynr1.png
Cinclus cinclus,White-throated dipper,Common,29544,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208699/Cinclus_cinclus_t0cgdy.png
Motacilla cinerea,Grey wagtail,Common,61369,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208843/Motacilla_cinerea_zsa7uc.png
