,eventDate,decimalLatitude,decimalLongitude,genus,species
100949,1996-06-11,55.65962,12.51536,Apus,Apus apus
100950,2011-01-12,55.34143,8.50925,Anas,Anas platyrhynchos
100951,1999-06-08,55.80538,12.34488,Apus,Apus apus
100952,1962-10-08,55.65744,12.42477,Fringilla,Fringilla coelebs
100953,1962-10-13,55.60817,12.47419,Fulica,Fulica atra
100954,2011-01-15,55.91214,8.44747,Falco,Falco peregrinus
100955,2011-01-15,55.73969,10.88499,Melanitta,Melanitta nigra
100956,2011-01-16,56.59389,8.51978,Somateria,Somateria mollissima
100957,2009-02-12,56.15542,9.52037,Cygnus,Cygnus olor
100958,2011-01-17,55.91438,10.678,Linaria,Linaria flavirostris
100959,2011-01-18,56.00507,8.73167,Buteo,Buteo lagopus
100960,2011-01-18,56.46627,8.41869,Troglodytes,Troglodytes troglodytes
100961,2010-11-15,57.04463,8.95781,Phylloscopus,Phylloscopus collybita
100962,2011-01-20,56.09241,10.13545,Turdus,Turdus pilaris
100963,2011-01-20,55.27739,11.93058,Spinus,Spinus spinus
100964,2011-01-20,55.84459,10.62506,Larus,Larus canus
100965,2011-01-21,55.87815,9.87592,Cygnus,Cygnus olor
100966,2022-05-23,56.38806,9.33449,Phylloscopus,Phylloscopus collybita
100967,2022-05-23,55.94774,12.05622,Pieris,Pieris napi
100968,2022-05-22,55.57263,11.94285,Phoenicurus,Phoenicurus phoenicurus
100969,2022-05-22,57.75166,10.60397,Motacilla,Motacilla flava
100970,2022-05-22,55.92918,9.20786,Larus,Larus fuscus
100971,2022-05-22,55.60323,12.54454,Plegadis,Plegadis falcinellus
100972,2022-05-23,55.60862,12.54377,Ardea,Ardea cinerea
100973,2022-05-24,57.74509,10.63559,Anser,Anser anser
100974,2022-05-14,55.56073,12.25917,Streptopelia,Streptopelia decaocto
100975,2022-05-24,56.95778,8.69377,Delichon,Delichon urbicum
100976,2022-05-24,55.79943,8.20068,Lophophanes,Lophophanes cristatus
100977,2022-05-24,55.55633,11.28477,Recurvirostra,Recurvirostra avosetta
100978,2022-05-24,56.89517,9.80831,Bucephala,Bucephala clangula
100979,2022-05-24,57.74509,10.63559,Circus,Circus cyaneus
100980,2022-05-24,55.1256,14.94294,Phylloscopus,Phylloscopus trochilus
100981,2022-05-24,55.60862,12.54377,Emberiza,Emberiza schoeniclus
100982,1967-12-30,55.12684,10.38102,Aythya,Aythya fuligula
100983,2013-02-28,56.46608,9.74659,Pyrrhula,Pyrrhula pyrrhula
100984,1960-12-25,54.90517,11.04648,Spinus,Spinus spinus
100985,2013-02-16,55.90612,8.37255,Anser,Anser anser
100986,2013-03-03,55.55865,8.07632,Larus,Larus argentatus
100987,1999-10-19,54.9887,15.07298,Mareca,Mareca penelope
100988,1968-04-05,55.78836,12.57337,Motacilla,Motacilla alba
100989,1970-05-29,56.01837,10.24131,Ardea,Ardea cinerea
100990,2013-03-17,55.92838,12.52696,Larus,Larus argentatus
100991,1970-06-30,56.0223,10.28211,Tringa,Tringa totanus
100992,2008-05-09,55.92918,9.20786,Phylloscopus,Phylloscopus trochilus
100993,2013-03-17,55.35847,11.65819,Parus,Parus major
100994,1970-08-03,55.85826,10.11398,Haematopus,Haematopus ostralegus
100995,2013-03-20,55.61417,12.43819,Branta,Branta canadensis
100996,2013-03-20,56.21593,10.22449,Rallus,Rallus aquaticus
100997,2013-03-21,55.37921,9.95987,Garrulus,Garrulus glandarius
100998,2022-07-26,56.03321,12.48662,Podiceps,Podiceps cristatus
100999,2022-07-26,55.92838,12.52696,Tringa,Tringa nebularia
101000,2022-07-25,55.55865,8.07632,Spatula,Spatula clypeata
101001,2022-07-25,55.55865,8.07632,Chroicocephalus,Chroicocephalus ridibundus
101002,2022-07-27,55.82342,12.4463,Phylloscopus,Phylloscopus trochilus
101003,2022-07-27,57.03152,8.6131,Certhia,Certhia familiaris
101004,2022-07-27,56.14671,12.36344,Phalacrocorax,Phalacrocorax carbo
101005,2022-07-27,57.23054,10.99894,Sturnus,Sturnus vulgaris
101006,2020-08-30,55.55865,8.07632,Prunella,Prunella modularis
101007,2022-07-28,56.22691,10.57367,Dendrocopos,Dendrocopos major
101008,2022-07-28,55.55865,8.07632,Melanitta,Melanitta nigra
101009,2022-07-28,55.5841,12.53318,Anas,Anas crecca
101010,2022-07-29,55.91135,12.28466,Alauda,Alauda arvensis
101011,2022-07-30,55.40055,11.21679,Pieris,Pieris brassicae
101012,2022-07-30,56.88066,10.20118,Cygnus,Cygnus cygnus
101013,2022-07-30,55.4991,12.20547,Calidris,Calidris falcinellus
101014,2022-07-13,55.44528,11.7976,Gallinula,Gallinula chloropus
101015,2022-07-31,55.78811,9.89607,Anser,Anser anser
101016,2022-05-26,55.32373,15.18358,Phalacrocorax,Phalacrocorax carbo
101017,2022-07-31,55.91271,9.12095,Falco,Falco tinnunculus
101018,2022-08-01,57.55954,10.25293,Turdus,Turdus merula
101019,2022-08-01,55.32373,15.18358,Sylvia,Sylvia atricapilla
101020,2022-08-02,54.91668,8.8493,Larus,Larus canus
101021,2022-08-02,57.01021,8.86985,Platalea,Platalea leucorodia
101022,2022-08-02,55.5841,12.53318,Hirundo,Hirundo rustica
101023,1989-10-30,54.71528,11.99563,Erithacus,Erithacus rubecula
101024,2022-08-03,55.55865,8.07632,Arenaria,Arenaria interpres
101025,2021-09-15,55.32373,15.18358,Larus,Larus cachinnans
101026,2022-08-03,54.84486,11.11163,Anas,Anas platyrhynchos
101027,2022-08-03,56.56453,8.78941,Larus,Larus argentatus
101028,2022-08-04,56.21593,10.22449,Pluvialis,Pluvialis apricaria
101029,2022-08-04,55.92009,11.71437,Tringa,Tringa nebularia
101030,2009-09-25,55.3335,8.68545,Tringa,Tringa nebularia
101031,2009-09-19,55.67353,9.8259,Anas,Anas platyrhynchos
101032,2009-09-25,56.9898,10.33241,Branta,Branta bernicla
101033,2009-09-26,55.12684,10.38102,Alauda,Alauda arvensis
101034,2009-09-27,55.3335,8.68545,Cyanistes,Cyanistes caeruleus
101035,2009-09-27,55.58468,12.53353,Emberiza,Emberiza schoeniclus
101036,2009-09-27,55.55865,8.07632,Fulmarus,Fulmarus glacialis
101037,2009-09-27,56.3631,8.69436,Corvus,Corvus corax
